repo,tool,run_label,suite,workload,dataset,tier,input_format,output_format,status,command,output_path,log_path,input_rows,output_rows,marks,output_bytes,elapsed_ms,run_timestamp_utc,git_ref,notes
pdl,pdl-bench,full-baseline-20260606,large,million_row_segment_summary,million-row,stress,csv,csv,ok,target/debug/pdl run bench/workloads/large/million_row_segment_summary.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_segment_summary-csv.csv,bench/runs/full-baseline-20260606/million_row_segment_summary-csv.log,1000000,4,,179,9575,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_segment_summary_parquet,million-row,stress,parquet,csv,ok,target/debug/pdl run bench/workloads/large/million_row_segment_summary_parquet.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_segment_summary_parquet-csv.csv,bench/runs/full-baseline-20260606/million_row_segment_summary_parquet-csv.log,1000000,4,,209,8808,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_segment_summary_arrow_stream,million-row,stress,arrow-stream,csv,ok,target/debug/pdl run bench/workloads/large/million_row_segment_summary_arrow_stream.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_segment_summary_arrow_stream-csv.csv,bench/runs/full-baseline-20260606/million_row_segment_summary_arrow_stream-csv.log,1000000,4,,209,8644,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_segment_summary,million-row,stress,csv,arrow-stream,ok,target/debug/pdl run bench/workloads/large/million_row_segment_summary.pdl --stdout-format arrow-stream,bench/runs/full-baseline-20260606/million_row_segment_summary-arrow-stream.arrow,bench/runs/full-baseline-20260606/million_row_segment_summary-arrow-stream.log,1000000,,,1224,8875,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_top_scores,million-row,stress,csv,csv,ok,target/debug/pdl run bench/workloads/large/million_row_top_scores.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_top_scores-csv.csv,bench/runs/full-baseline-20260606/million_row_top_scores-csv.log,1000000,100,,2972,4541,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_projection_smoke,million-row,stress,csv,csv,ok,target/debug/pdl run bench/workloads/large/million_row_projection_smoke.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_projection_smoke-csv.csv,bench/runs/full-baseline-20260606/million_row_projection_smoke-csv.log,1000000,10000,,195616,1327,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
pdl,pdl-bench,full-baseline-20260606,large,million_row_distinct_segments,million-row,stress,csv,csv,ok,target/debug/pdl run bench/workloads/large/million_row_distinct_segments.pdl --stdout-format csv,bench/runs/full-baseline-20260606/million_row_distinct_segments-csv.csv,bench/runs/full-baseline-20260606/million_row_distinct_segments-csv.log,1000000,4,,16,1310,2026-06-06T13:59:59Z,v0.30.0-1-ga8ccab8-dirty,
